               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038615,            0.015655,             0.14953,           0.0018954,             0.12241,           0.0027878,           0.0020333,             0.02124,            0.004556,             0.11949,           0.0033306,           0.0033306,            0.070025
                   1,            0.032541,            0.012393,             0.14489,           0.0034856,             0.18145,           0.0050175,           0.0036126,            0.020979,           0.0048983,             0.11652,           0.0066638,           0.0066638,            0.040025
                   2,            0.034097,             0.01302,             0.14131,             0.19268,             0.17852,             0.01068,           0.0074295,            0.022922,           0.0056583,             0.11154,           0.0099963,           0.0099963,            0.010024
                   3,            0.035264,            0.013288,             0.13515,             0.20421,              0.3278,            0.020797,            0.015117,            0.021248,           0.0049155,             0.10526,           0.0099978,           0.0099978,           0.0099978
                   4,            0.033766,            0.012702,             0.12913,             0.60676,             0.16628,            0.036254,             0.02693,            0.019506,           0.0045525,            0.099815,           0.0099978,           0.0099978,           0.0099978
                   5,            0.033276,            0.012345,             0.12419,             0.61388,             0.14524,            0.062747,            0.047617,            0.019336,           0.0044395,            0.094998,           0.0099961,           0.0099961,           0.0099961
                   6,            0.032829,            0.012298,             0.12005,             0.47878,             0.23273,            0.093775,            0.073464,            0.019005,           0.0042994,            0.090653,           0.0099938,           0.0099938,           0.0099938
                   7,            0.032799,            0.012176,             0.11585,             0.31352,             0.37923,             0.13712,             0.10717,            0.018501,           0.0042298,            0.085724,           0.0099911,           0.0099911,           0.0099911
                   8,            0.032823,            0.012023,             0.11205,             0.40402,             0.34481,              0.1893,             0.14665,            0.018166,           0.0041876,            0.080881,           0.0099879,           0.0099879,           0.0099879
                   9,            0.033179,             0.01204,             0.10923,             0.39189,             0.39954,             0.24529,             0.19091,            0.018402,           0.0041153,            0.076416,           0.0099842,           0.0099842,           0.0099842
                  10,            0.033086,            0.011995,             0.10562,             0.41974,             0.40374,             0.29791,             0.23412,            0.018019,           0.0041167,            0.073347,             0.00998,             0.00998,             0.00998
                  11,            0.033396,            0.012001,             0.10273,             0.45445,             0.41969,             0.34094,             0.26636,            0.017935,           0.0040331,            0.069617,           0.0099753,           0.0099753,           0.0099753
                  12,            0.033518,            0.012031,              0.1003,             0.51559,             0.41443,             0.39439,             0.31104,            0.017648,           0.0040157,            0.066188,           0.0099702,           0.0099702,           0.0099702
                  13,              0.0338,            0.011895,            0.097901,             0.51954,             0.45646,             0.44186,             0.34971,            0.017335,           0.0039831,            0.062933,           0.0099645,           0.0099645,           0.0099645
                  14,            0.034488,            0.011963,             0.09655,             0.50545,             0.49235,             0.47525,             0.37468,            0.017321,           0.0039926,            0.060576,           0.0099584,           0.0099584,           0.0099584
                  15,            0.034592,            0.012038,            0.094909,             0.55713,              0.4972,             0.50747,             0.39918,            0.017114,            0.003973,            0.058686,           0.0099517,           0.0099517,           0.0099517
                  16,            0.034521,            0.011856,             0.09191,              0.5353,             0.54255,             0.54512,             0.43021,            0.016941,           0.0039439,            0.056088,           0.0099446,           0.0099446,           0.0099446
                  17,            0.034831,            0.011914,            0.090657,             0.56914,              0.5481,               0.568,             0.45111,            0.017008,           0.0039431,            0.054172,            0.009937,            0.009937,            0.009937
                  18,            0.035029,            0.011867,            0.089295,             0.55261,             0.57734,             0.59213,             0.46905,            0.016856,           0.0039186,            0.052746,           0.0099289,           0.0099289,           0.0099289
                  19,             0.03503,            0.011939,            0.087749,             0.57753,             0.57495,             0.61116,             0.48498,            0.016813,           0.0038972,            0.051041,           0.0099203,           0.0099203,           0.0099203
                  20,            0.035693,            0.011836,            0.086208,             0.56174,             0.60972,             0.62958,             0.49942,            0.016708,           0.0038748,             0.04975,           0.0099112,           0.0099112,           0.0099112
                  21,            0.035812,            0.011776,            0.085319,             0.54597,             0.63981,             0.64533,             0.51223,            0.016623,           0.0038589,            0.048427,           0.0099017,           0.0099017,           0.0099017
                  22,            0.035564,            0.011914,            0.084063,             0.55169,             0.64821,             0.65409,             0.51901,            0.016645,            0.003867,            0.047243,           0.0098916,           0.0098916,           0.0098916
                  23,             0.03602,            0.011836,            0.083015,             0.59994,             0.62871,             0.66534,             0.52655,            0.016647,           0.0038673,            0.046294,           0.0098811,           0.0098811,           0.0098811
                  24,            0.036221,            0.011848,            0.081789,             0.59803,             0.64809,             0.67388,             0.53361,            0.016686,           0.0038664,            0.045599,           0.0098701,           0.0098701,           0.0098701
                  25,            0.036077,            0.011877,            0.081816,             0.64323,             0.62192,             0.67811,             0.53703,            0.016683,           0.0038579,             0.04524,           0.0098586,           0.0098586,           0.0098586
                  26,            0.035947,            0.011876,            0.080561,             0.64553,             0.62964,             0.68588,             0.54303,            0.016645,           0.0038519,            0.044735,           0.0098467,           0.0098467,           0.0098467
                  27,            0.036069,            0.011856,            0.080188,             0.63763,             0.64592,             0.69272,             0.54984,            0.016627,           0.0038484,            0.044244,           0.0098342,           0.0098342,           0.0098342
                  28,            0.036498,            0.011843,            0.079714,             0.64548,               0.645,             0.69728,             0.55366,            0.016526,           0.0038461,            0.043826,           0.0098213,           0.0098213,           0.0098213
                  29,            0.036427,            0.011878,            0.078725,             0.65307,             0.64509,             0.70306,              0.5598,            0.016516,           0.0038453,            0.043395,           0.0098079,           0.0098079,           0.0098079
                  30,             0.03637,             0.01189,            0.078444,             0.66314,              0.6444,             0.70847,             0.56403,            0.016511,           0.0038395,            0.043063,           0.0097941,           0.0097941,           0.0097941
                  31,            0.036331,            0.011891,            0.077568,             0.62668,             0.67891,             0.71366,             0.56874,            0.016496,           0.0038338,            0.042724,           0.0097798,           0.0097798,           0.0097798
                  32,            0.036904,             0.01182,            0.076904,             0.63989,             0.67576,             0.71776,              0.5715,            0.016497,           0.0038299,            0.042396,            0.009765,            0.009765,            0.009765
                  33,            0.037003,            0.011777,            0.076355,             0.61771,              0.6987,             0.72236,              0.5748,            0.016495,           0.0038279,            0.042081,           0.0097497,           0.0097497,           0.0097497
                  34,            0.037048,            0.011789,            0.076776,             0.60384,              0.7167,             0.72586,             0.57832,            0.016501,           0.0038256,            0.041786,            0.009734,            0.009734,            0.009734
                  35,            0.037126,            0.011855,            0.075075,             0.61696,             0.71151,             0.72971,             0.58131,            0.016511,           0.0038239,            0.041513,           0.0097178,           0.0097178,           0.0097178
                  36,             0.03722,            0.011828,            0.074978,             0.62921,             0.70868,             0.73306,             0.58382,            0.016513,           0.0038223,            0.041249,           0.0097011,           0.0097011,           0.0097011
                  37,            0.036829,            0.011823,            0.074758,              0.6392,             0.70724,             0.73628,             0.58685,            0.016526,           0.0038229,            0.041007,            0.009684,            0.009684,            0.009684
